City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,kalevala,65.2,31.1667,-3.84,88,100,8.94,RU,1701219468
328,saint-pierre,-21.3393,55.4781,23.82,57,7,3.6,RE,1701219469
329,surfside,25.8784,-80.1256,19.01,57,0,4.12,US,1701219469
330,camabatela,-8.1881,15.375,16.72,99,100,1.3,AO,1701219469
331,antsiranana,-12.2787,49.2917,24.54,84,23,3.56,MG,1701219469
332,sitka,57.0531,-135.33,5.94,75,0,0.0,US,1701219469
333,kyshtovka,56.555,76.6271,-5.92,89,89,3.58,RU,1701219470
334,laojunmiao,39.8333,97.7333,-4.75,58,76,2.81,CN,1701219470
335,haiku-pauwela,20.9219,-156.3051,26.25,79,75,4.12,US,1701219470
336,lompoc,34.6391,-120.4579,18.08,56,0,3.09,US,1701219470
337,puerto francisco de orellana,-0.4667,-76.9667,21.85,94,100,0.14,EC,1701219470
338,ivdel',60.6911,60.4206,-7.21,97,100,1.79,RU,1701219471
339,gracias,14.5833,-88.5833,23.81,99,100,1.74,HN,1701219471
340,al fallujah,33.3538,43.7795,6.94,36,15,4.33,IQ,1701219471
341,puerto colombia,10.9878,-74.9547,28.05,79,13,10.93,CO,1701219471
342,springhill,33.006,-93.4668,5.94,55,0,1.28,US,1701219201
343,san pedro de ycuamandiyu,-24.0917,-57.0764,24.92,92,39,2.43,PY,1701219471
344,jacksonville,30.3322,-81.6556,12.0,74,20,2.57,US,1701219394
345,santa marta,11.2408,-74.199,30.03,75,16,8.05,CO,1701219472
346,weno,7.4515,151.8468,30.97,70,100,3.09,FM,1701219472
347,miasskoye,55.2784,61.8905,-1.42,94,100,3.39,RU,1701219472
348,kilinochchi,9.3961,80.3982,24.75,89,100,1.09,LK,1701219472
349,novyy urgal,51.0736,132.5642,-18.27,87,94,0.2,RU,1701219473
350,sant feliu de guixols,41.7833,3.0333,11.73,39,99,1.56,ES,1701219473
351,lhokseumawe,5.1801,97.1507,25.61,88,100,1.37,ID,1701219473
352,taghazout,30.5426,-9.7112,13.43,78,8,2.09,MA,1701219473
353,lecheng,25.1238,113.3254,19.14,61,22,0.94,CN,1701219473
354,al kharijah,25.4514,30.5464,14.08,48,100,3.21,EG,1701219474
355,villa gesell,-37.2639,-56.973,19.06,93,63,8.64,AR,1701219474
356,koidu,8.4167,-10.8333,21.84,96,100,0.92,SL,1701219474
